INDICE NACIONAL DE PRECIOS AL CONSUMIDOR (DATOS SINTETICOS PARA DEMOSTRACION)
Los datos de este archivo son ficticios y no representan valores oficiales del INEGI
Generado para demostracion del proyecto replica-inpc-mx
Periodo: 2Q Jul 2018 - 1Q May 2019
Base: 2a quincena de julio de 2018 = 100
Título,Cifra,2Q Jul 2018,1Q Ago 2018,2Q Ago 2018,1Q Sep 2018,2Q Sep 2018,1Q Oct 2018,2Q Oct 2018,1Q Nov 2018,2Q Nov 2018,1Q Dic 2018,2Q Dic 2018,1Q Ene 2019,2Q Ene 2019,1Q Feb 2019,2Q Feb 2019,1Q Mar 2019,2Q Mar 2019,1Q Abr 2019,2Q Abr 2019,1Q May 2019
001 Tortilla de maiz,Índice,100.000,100.312,100.580,101.043,101.298,101.782,102.104,102.356,102.789,103.201,103.445,103.823,104.102,104.456,104.789,105.123,105.398,105.712,106.034,106.389
002 Pan blanco,Índice,100.000,100.241,100.489,100.823,101.112,101.398,101.723,101.978,102.287,102.598,102.834,103.143,103.389,103.645,103.923,104.198,104.456,104.712,104.978,105.234
003 Leche pasteurizada y fresca,Índice,100.000,100.289,100.534,100.878,101.198,101.456,101.812,102.089,102.398,102.723,103.012,103.345,103.612,103.923,104.198,104.489,104.778,105.089,105.398,105.712
004 Huevo,Índice,100.000,100.456,101.023,101.345,100.934,101.456,102.089,102.678,103.234,103.789,104.123,104.623,105.156,105.489,105.901,106.234,106.712,107.089,107.534,107.923
005 Aceite vegetal,Índice,100.000,100.345,100.689,101.012,101.345,101.678,102.001,102.312,102.645,102.978,103.289,103.601,103.912,104.234,104.523,104.845,105.156,105.467,105.789,106.101
006 Carne de res,Índice,100.000,100.389,100.823,101.234,101.678,102.089,102.512,102.934,103.378,103.812,104.156,104.612,105.023,105.456,105.878,106.312,106.734,107.156,107.589,108.023
007 Pollo en piezas,Índice,100.000,100.423,100.912,101.312,100.898,101.434,101.978,102.512,103.023,103.567,103.945,104.478,104.978,105.367,105.834,106.267,106.789,107.234,107.689,108.134
008 Gasolina de bajo octanaje,Índice,100.000,100.512,101.123,101.678,102.234,102.789,103.256,103.789,104.234,104.789,105.234,105.678,106.123,106.534,107.023,107.456,107.923,108.345,108.789,109.234
009 Gas domestico,Índice,100.000,100.289,100.545,100.823,101.089,101.378,101.634,101.923,102.189,102.478,102.734,103.012,103.289,103.567,103.823,104.101,104.367,104.645,104.901,105.189
010 Electricidad,Índice,100.000,100.167,100.312,100.489,100.634,100.801,100.978,101.123,101.289,101.456,101.612,101.789,101.956,102.112,102.289,102.456,102.612,102.789,102.956,103.123
011 Renta de vivienda,Índice,100.000,100.112,100.223,100.334,100.445,100.556,100.667,100.778,100.889,101.000,101.112,101.223,101.334,101.445,101.556,101.667,101.778,101.889,102.000,102.112
012 Educacion universitaria,Índice,100.000,100.167,100.289,100.423,100.534,100.656,100.778,100.889,101.001,101.123,101.234,104.567,104.712,104.834,104.956,105.078,105.189,105.312,105.434,105.556
013 Servicio de telefonia movil,Índice,100.000,99.934,99.867,99.801,99.734,99.668,99.601,99.534,99.467,99.401,99.334,99.267,99.201,99.134,99.067,99.001,98.934,98.867,98.801,98.734
014 Automoviles,Índice,100.000,100.389,100.778,101.167,101.556,101.945,102.334,102.723,103.112,103.501,103.890,104.279,104.668,105.057,105.446,105.835,106.224,106.613,107.002,107.391
015 Medicamentos,Índice,100.000,100.245,100.489,100.734,100.978,101.223,101.467,101.712,101.956,102.201,102.445,102.690,102.934,103.179,103.423,103.668,103.912,104.157,104.401,104.646
